title,categories,manufacturer,brand,category_code,brand01,title_clean,categories_clean,manufacturer_clean,brand_clean,category_code_clean,brand01_clean,max_match_score
"GE 3-Outlet Extender, 3 Pack, Grounded Wall Tap, 3-Prong, Multiple Plug, Power Splitter, Cruise Essentials, Use for Home Office School Dorm, UL Listed, White, 47884","[""Tools & Home Improvement"",""Electrical"",""Cords, Adapters & Multi-Outlets"",""Adapters & Multi-Outlets"",""Multi-Outlets""]","Jasco Products Company, LLC",GE,,,ge 3 outlet extender  3 pack  grounded wall tap  3 prong  multiple plug  power splitter  cruise essentials  use for home office school dorm  ul listed  white  47884,tools   home improvement electrical cords  adapters   multi outlets adapters   multi outlets multi outlets,jasco products company  llc,ge,,,70.0
Beer Mug Suspenders (adjustable) Party Accessory  (1 count) (1/Pkg),"[""Clothing, Shoes & Jewelry"",""Men"",""Accessories"",""Suspenders""]",The Beistle Company,The Beistle Company,,,beer mug suspenders  adjustable  party accessory   1 count   1 pkg,clothing  shoes   jewelry men accessories suspenders,the beistle company,the beistle company,,,70.0
"Dixie PerfecTouch 16 oz. Insulated Paper Hot Coffee Cup by GP PRO (Georgia-Pacific), Coffee Haze, 5356CD, 1,000 Count (50 Cups Per Sleeve, 20 Sleeves Per Case)","[""Health & Household"",""Household Supplies"",""Paper & Plastic"",""Disposable Drinkware"",""Cups""]",‏  ‎ Georgia-Pacific,Georgia-Pacific,,,dixie perfectouch 16 oz  insulated paper hot coffee cup by gp pro  georgia pacific  coffee haze  5356cd  1 000 count  50 cups per sleeve  20 sleeves per case,health   household household supplies paper   plastic disposable drinkware cups,georgia pacific,georgia pacific,,,70.0
"CUBY Dog and Cat Sling Carrier - Hands Free Reversible Pet Papoose Bag - Soft Pouch and Tote Design - Adjustable - Suitable for Puppy, Small Dogs, and Cats for Outdoor Travel (Grey)","[""Pet Supplies"",""Dogs"",""Carriers & Travel Products"",""Slings""]",CUBY,Cuby,,,cuby dog and cat sling carrier   hands free reversible pet papoose bag   soft pouch and tote design   adjustable   suitable for puppy  small dogs  and cats for outdoor travel  grey,pet supplies dogs carriers   travel products slings,cuby,cuby,,,70.0
"POWERTEC 70304 2-1/2” Dust Collection Fittings Network w/Reducer, Blast Gates, Pipes, 90-Degree Elbow Connector, Y-fittings, Mounting Brackets","[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Power Tools Replacement Parts""]",POWERTEC,POWERTEC,,,powertec 70304 2 1 2  dust collection fittings network w reducer  blast gates  pipes  90 degree elbow connector  y fittings  mounting brackets,tools   home improvement power   hand tools power tool parts   accessories power tools replacement parts,powertec,powertec,,,70.0
3 Pcs Inflatable Heart Pool Float 47.3 x 39.4 Inch Swim Heart Shaped Pool Rings for Adults Teens Water Fun Heart Floatie Summer Swimming Tube for Pool Beach Bachelorette Party,"[""Toys & Games"",""Sports & Outdoor Play"",""Pools & Water Toys"",""Pool Toys"",""Swim Rings""]",Zhanmai,Zhanmai,,,3 pcs inflatable heart pool float 47 3 x 39 4 inch swim heart shaped pool rings for adults teens water fun heart floatie summer swimming tube for pool beach bachelorette party,toys   games sports   outdoor play pools   water toys pool toys swim rings,zhanmai,zhanmai,,,70.0
"Creative Converting Paper Dinner Plates, 8 3/4, 24 Ct Luscious Lavender","[""Health & Household"",""Household Supplies"",""Paper & Plastic"",""Disposable Plates, Bowls & Cutlery"",""Plates""]",Creative Converting,Creative Converting,,,creative converting paper dinner plates  8 3 4  24 ct luscious lavender,health   household household supplies paper   plastic disposable plates  bowls   cutlery plates,creative converting,creative converting,,,70.0
"Greenlee 37869 Nail Eater Extreme Impact Auger Bit for 11/16 Inch Hardware, 3/4-Inch Actual Hole Size","[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Power Drill Parts & Accessories"",""Drill Bits"",""Auger Drill Bits""]",Greenlee,Greenlee,,,greenlee 37869 nail eater extreme impact auger bit for 11 16 inch hardware  3 4 inch actual hole size,tools   home improvement power   hand tools power tool parts   accessories power drill parts   accessories drill bits auger drill bits,greenlee,greenlee,,,70.0
"COMOWARE Number Size Drill Bit Set 60pcs- Jobber Length Drill Bits, Wire Gauge 1 to 60, Black and Gold Finish, 135° Split Point, High Speed Steel with Metal Indexed Storage Case","[""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Power Drill Parts & Accessories"",""Drill Bits"",""Twist Drill Bits"",""Jobber Drill Bits""]",COMOWARE,COMOWARE,,,comoware number size drill bit set 60pcs  jobber length drill bits  wire gauge 1 to 60  black and gold finish  135  split point  high speed steel with metal indexed storage case,power   hand tools power tool parts   accessories power drill parts   accessories drill bits twist drill bits jobber drill bits,comoware,comoware,,,70.0
DEWALT N167287 Handle,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Power Tools Replacement Parts""]",Dewalt,DEWALT,,,dewalt n167287 handle,tools   home improvement power   hand tools power tool parts   accessories power tools replacement parts,dewalt,dewalt,,,70.0
